"BRGL","Lasso","EN","OSCAR","BLasso","BEN"
6.127,0.75,8.496,37.371,5.662,6.087
5.156,0.693,4.552,27.103,4.706,4.772
5.264,1.005,5.497,30.878,3.834,6.273
5.334,0.976999999999999,5.869,31.155,3.741,5.978
5.375,1.068,6.763,49.575,4.29000000000001,3.34299999999999
5.069,0.598000000000001,4.152,46.536,7.108,4.642
6.01400000000001,0.111999999999995,0.478000000000009,4.63499999999999,0.763000000000005,0.990000000000009
11.828,0.403000000000006,4.019,11.165,1.13799999999999,0.97999999999999
11.987,0.396000000000001,2.19,9.349,0.784000000000006,0.989000000000004
12.351,0.429999999999993,1.97199999999999,9.238,1.012,1.416
